City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Chuy,UY,59.29,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
2,Stillwater,US,82.89,scattered clouds,36.1156,-97.0584,Hampton Inn & Suites Stillwater
3,Lebu,CL,46.06,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
4,Hasaki,JP,79.2,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
5,Bella Union,UY,62.37,clear sky,-30.2752,-57.6007,Hotel Oriente
6,Tiksi,RU,51.15,scattered clouds,71.6872,128.8694,Arktika
7,Tasiilaq,GL,44.76,moderate rain,65.6145,-37.6368,The Red House
8,Bilma,NE,88.77,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
10,Constantine,DZ,78.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
11,Russell,US,73.11,scattered clouds,32.3502,-85.1999,Macs
12,Qaanaaq,GL,38.98,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
14,Castro,BR,51.01,clear sky,-24.7911,-50.0119,CHACARA BAILLY
16,Gunnedah,AU,67.62,overcast clouds,-30.9833,150.25,Gunnedah Motor Inn
17,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
18,Busselton,AU,62.1,broken clouds,-33.65,115.3333,Observatory Guest House
19,Zatoka,UA,70.34,clear sky,46.0725,30.4654,"База отдыха ""Солнечная"""
20,Haines Junction,CA,57.15,broken clouds,60.7522,-137.5108,Parkside Inn
21,Porto Novo,BJ,76.82,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
22,Port Elizabeth,ZA,50.29,clear sky,-33.918,25.5701,39 On Nile Guest House
23,Rikitea,PF,74.53,clear sky,-23.1203,-134.9692,People ThankYou
24,Punta Arenas,CL,37.51,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
25,Aksu,CN,85.24,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
26,Nikolskoye,RU,66.09,light rain,59.7035,30.7861,Tourist House - Sablino
27,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Laurel,US,70.72,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
30,Sangmelima,CM,69.01,overcast clouds,2.9333,11.9833,gamestar hotel
32,Lincoln,US,68.07,mist,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
33,Tuktoyaktuk,CA,41.99,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
34,Bluff,NZ,37.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
