City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Askino,RU,56.0901,56.5783,69.06,41,0,11.9,clear sky
1,Chuy,UY,-33.6971,-53.4616,59.29,93,5,5.17,clear sky
2,Stillwater,US,36.1156,-97.0584,82.89,75,40,1.99,scattered clouds
3,Lebu,CL,-37.6167,-73.65,46.06,71,92,16.33,overcast clouds
4,Hasaki,JP,35.7333,140.8333,79.2,95,100,30.98,moderate rain
5,Bella Union,UY,-30.2752,-57.6007,62.37,71,0,8.81,clear sky
6,Tiksi,RU,71.6872,128.8694,51.15,69,29,5.21,scattered clouds
7,Tasiilaq,GL,65.6145,-37.6368,44.76,97,100,15.61,moderate rain
8,Bilma,NE,18.6853,12.9164,88.77,45,83,16.55,broken clouds
9,Tiznit,MA,29.5833,-9.5,63.1,91,34,2.21,scattered clouds
10,Constantine,DZ,36.365,6.6147,78.21,33,40,4.61,scattered clouds
11,Russell,US,32.3502,-85.1999,73.11,90,40,0.0,scattered clouds
12,Qaanaaq,GL,77.484,-69.3632,38.98,87,91,3.04,overcast clouds
13,Hami,CN,42.8,93.45,94.17,12,0,9.91,clear sky
14,Castro,BR,-24.7911,-50.0119,51.01,94,5,4.29,clear sky
15,Tuy Hoa,VN,13.0833,109.3,97.47,47,100,3.76,overcast clouds
16,Gunnedah,AU,-30.9833,150.25,67.62,58,97,8.75,overcast clouds
17,Luanda,AO,-8.8368,13.2343,73.4,83,75,0.0,broken clouds
18,Busselton,AU,-33.65,115.3333,62.1,72,84,18.75,broken clouds
19,Zatoka,UA,46.0725,30.4654,70.34,56,0,13.82,clear sky
20,Haines Junction,CA,60.7522,-137.5108,57.15,72,75,6.91,broken clouds
21,Porto Novo,BJ,6.4965,2.6036,76.82,93,100,7.31,moderate rain
22,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,3.44,clear sky
23,Rikitea,PF,-23.1203,-134.9692,74.53,78,0,15.05,clear sky
24,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,13.8,clear sky
25,Aksu,CN,41.1231,80.2644,85.24,27,100,2.93,overcast clouds
26,Nikolskoye,RU,59.7035,30.7861,66.09,95,91,3.06,light rain
