City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Romny,50.751,33.4747,62.56,59,90,6.13,UA,2021-08-05 03:18:57
1,Alice,27.7523,-98.0697,84.31,92,90,5.75,US,2021-08-05 03:20:40
2,Alofi,-19.0595,-169.9187,73.29,78,92,6.91,NU,2021-08-05 03:20:40
3,Troitsko-Pechorsk,62.7084,56.1964,60.04,88,100,4.18,RU,2021-08-05 03:20:40
4,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,2021-08-05 03:20:41
5,Hermanus,-34.4187,19.2345,52.9,95,53,8.95,ZA,2021-08-05 03:20:41
6,Tasiilaq,65.6145,-37.6368,48.36,79,99,1.63,GL,2021-08-05 03:16:25
7,Ushuaia,-54.8,-68.3,46.06,76,40,0.0,AR,2021-08-05 03:20:42
8,Cabo San Lucas,22.8909,-109.9124,85.51,50,84,3.0,MX,2021-08-05 03:20:42
9,Ancud,-41.8697,-73.8203,50.23,89,100,18.77,CL,2021-08-05 03:20:42
10,Nanortalik,60.1432,-45.2371,44.71,97,100,3.53,GL,2021-08-05 03:20:43
11,Thompson,55.7435,-97.8558,50.16,76,20,2.3,CA,2021-08-05 03:17:27
12,Sola,-13.8833,167.55,77.67,94,90,0.0,VU,2021-08-05 03:20:44
13,Agbor,6.2518,6.1934,72.43,97,100,3.24,NG,2021-08-05 03:20:44
14,Zarate,-34.0981,-59.0286,50.83,92,2,5.95,AR,2021-08-05 03:19:57
15,Cravo Norte,6.3017,-70.2041,72.77,88,100,3.29,CO,2021-08-05 03:20:44
16,Mataura,-46.1927,168.8643,48.87,67,100,3.91,NZ,2021-08-05 03:20:45
17,Chuy,-33.6971,-53.4616,49.33,96,78,5.23,UY,2021-08-05 03:20:45
18,Port Alfred,-33.5906,26.891,63.18,88,74,8.88,ZA,2021-08-05 03:20:45
19,Sao Joao Da Barra,-21.6403,-41.0511,63.46,88,19,11.01,BR,2021-08-05 03:20:47
20,Poopo,-18.3667,-66.9667,35.15,81,100,9.46,BO,2021-08-05 03:20:47
21,Busselton,-33.65,115.3333,61.05,68,0,6.26,AU,2021-08-05 03:20:47
22,Butaritari,3.0707,172.7902,82.69,65,9,7.38,KI,2021-08-05 03:20:48
23,Mandalgovi,45.7625,106.2708,68.36,41,0,9.98,MN,2021-08-05 03:20:48
24,Punta Arenas,-53.15,-70.9167,46.51,71,0,9.22,CL,2021-08-05 03:20:48
25,Inhambane,-23.865,35.3833,61.93,78,0,4.45,MZ,2021-08-05 03:19:22
26,New Norfolk,-42.7826,147.0587,56.7,64,100,3.0,AU,2021-08-05 03:16:16
27,Ballina,-28.8667,153.5667,68.18,38,0,6.93,AU,2021-08-05 03:20:49
28,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,32,75,20.13,RU,2021-08-05 03:20:49
29,Ponta Do Sol,32.6667,-17.1,75.0,82,1,2.89,PT,2021-08-05 03:20:49
30,Dwarka,22.2394,68.9678,81.64,82,100,17.67,IN,2021-08-05 03:20:50
31,Bredasdorp,-34.5322,20.0403,56.52,94,32,2.3,ZA,2021-08-05 03:16:49
32,Teya,60.3778,92.6267,76.24,47,46,7.14,RU,2021-08-05 03:20:50
33,Kamenka,51.3223,42.7678,64.94,65,32,2.44,RU,2021-08-05 03:20:50
34,Namatanai,-3.6667,152.4333,84.96,70,66,4.09,PG,2021-08-05 03:20:51
35,Coihaique,-45.5752,-72.0662,30.15,93,100,3.44,CL,2021-08-05 03:17:57
36,Juba,4.8517,31.5825,68.97,91,11,0.38,SS,2021-08-05 03:20:51
37,Lata,40.1629,-8.3327,64.04,97,17,1.92,PT,2021-08-05 03:20:51
38,Vaini,-21.2,-175.2,73.56,68,20,8.05,TO,2021-08-05 03:20:52
39,Laguna,38.421,-121.4238,90.1,47,1,5.01,US,2021-08-05 03:17:57
40,Hobart,-42.8794,147.3294,57.06,65,75,5.01,AU,2021-08-05 03:20:18
41,Kapaa,22.0752,-159.319,84.52,75,1,4.0,US,2021-08-05 03:16:09
42,Svetlyy,54.675,20.1347,51.85,83,0,2.26,RU,2021-08-05 03:20:52
43,Castro,-24.7911,-50.0119,47.89,96,76,6.08,BR,2021-08-05 03:20:52
44,Guerrero Negro,27.9769,-114.0611,71.85,80,5,13.38,MX,2021-08-05 03:16:47
45,Puerto Boyaca,5.9758,-74.5885,75.49,77,75,0.98,CO,2021-08-05 03:20:53
46,Thames,-37.1333,175.5333,61.38,86,100,4.99,NZ,2021-08-05 03:20:53
47,Karratha,-20.7377,116.8463,77.34,23,20,27.78,AU,2021-08-05 03:17:00
48,Provideniya,64.3833,-173.3,59.11,67,75,4.47,RU,2021-08-05 03:20:53
49,Lavrentiya,65.5833,-171.0,58.15,80,33,14.09,RU,2021-08-05 03:20:54
50,Qaanaaq,77.484,-69.3632,41.29,69,7,5.61,GL,2021-08-05 03:20:54
51,Hambantota,6.1241,81.1185,83.34,71,82,20.47,LK,2021-08-05 03:20:54
52,Morondava,-20.2833,44.2833,72.21,63,100,5.12,MG,2021-08-05 03:20:54
53,Kununurra,-15.7667,128.7333,78.78,17,99,12.66,AU,2021-08-05 03:16:55
54,Lasa,46.6166,10.7002,54.48,98,100,6.22,IT,2021-08-05 03:20:55
55,Mar Del Plata,-38.0023,-57.5575,48.09,1,0,15.01,AR,2021-08-05 03:20:55
56,Constitucion,-35.3333,-72.4167,52.09,86,100,10.58,CL,2021-08-05 03:15:56
57,East London,-33.0153,27.9116,65.01,87,95,6.78,ZA,2021-08-05 03:20:55
58,Tuxpan,19.55,-103.4,67.14,99,100,2.06,MX,2021-08-05 03:20:56
59,Victoria,22.2855,114.1577,85.32,87,100,5.99,HK,2021-08-05 03:19:13
60,Puro,12.4841,123.3827,87.26,65,81,13.98,PH,2021-08-05 03:20:56
61,High Level,58.5169,-117.136,66.31,68,90,3.44,CA,2021-08-05 03:20:56
62,Khatanga,71.9667,102.5,74.44,28,67,13.71,RU,2021-08-05 03:20:57
63,Roma,43.2128,-75.4557,67.86,86,1,0.0,US,2021-08-05 03:20:57
64,Fairbanks,64.8378,-147.7164,82.4,44,40,8.05,US,2021-08-05 03:20:57
65,Bathurst,-33.4166,149.5806,49.96,75,100,5.01,AU,2021-08-05 03:18:03
66,Solnechnyy,50.7214,136.6319,64.81,78,97,1.92,RU,2021-08-05 03:20:58
67,Kaitangata,-46.2817,169.8464,52.93,71,100,13.27,NZ,2021-08-05 03:20:58
68,Pitimbu,-7.4706,-34.8086,70.39,88,54,10.42,BR,2021-08-05 03:20:58
69,Bengkulu,-3.8004,102.2655,81.72,70,95,3.98,ID,2021-08-05 03:17:27
70,Tiksi,71.6872,128.8694,45.55,77,4,11.48,RU,2021-08-05 03:16:38
71,Kavaratti,10.5669,72.642,82.18,79,100,19.15,IN,2021-08-05 03:20:59
72,Codrington,-38.2667,141.9667,55.24,81,100,14.83,AU,2021-08-05 03:20:59
73,Lebu,-37.6167,-73.65,52.27,83,100,18.92,CL,2021-08-05 03:20:59
74,Narsaq,60.9167,-46.05,44.82,86,92,2.1,GL,2021-08-05 03:21:00
75,Clyde River,70.4692,-68.5914,35.83,100,90,9.22,CA,2021-08-05 03:21:00
76,Parli,18.8486,76.5297,77.61,76,100,15.95,IN,2021-08-05 03:21:00
77,Puerto Ayora,-0.7393,-90.3518,71.55,81,49,4.0,EC,2021-08-05 03:19:48
78,Barrow,71.2906,-156.7887,55.42,67,1,11.5,US,2021-08-05 03:21:01
79,Rio Claro,-22.4114,-47.5614,49.8,76,77,6.78,BR,2021-08-05 03:21:01
80,Rikitea,-23.1203,-134.9692,73.09,71,7,16.42,PF,2021-08-05 03:21:01
81,Lorengau,-2.0226,147.2712,86.31,62,14,4.34,PG,2021-08-05 03:21:02
82,Mackay,-21.15,149.2,73.04,44,6,16.64,AU,2021-08-05 03:21:02
83,Vung Tau,10.346,107.0843,84.43,72,100,15.35,VN,2021-08-05 03:19:53
84,Bluff,-46.6,168.3333,46.87,70,100,5.64,NZ,2021-08-05 03:21:02
85,Katsuura,35.1333,140.3,91.51,68,1,10.8,JP,2021-08-05 03:21:03
86,Avarua,-21.2078,-159.775,75.25,73,20,4.61,CK,2021-08-05 03:21:03
87,Salalah,17.0151,54.0924,78.89,94,90,6.91,OM,2021-08-05 03:21:03
88,Puerto Parra,6.6515,-74.0573,76.46,83,93,0.51,CO,2021-08-05 03:21:04
89,Esmeraldas,-19.7625,-44.3139,63.46,80,94,5.44,BR,2021-08-05 03:21:04
90,Shirgaon,19.7,72.7,82.42,81,62,16.91,IN,2021-08-05 03:21:04
91,Vardo,70.3705,31.1107,46.6,85,100,22.39,NO,2021-08-05 03:21:05
92,Ordzhonikidze,52.4411,61.7408,76.48,51,49,0.96,KZ,2021-08-05 03:21:05
93,Quime,-16.9833,-67.2167,42.44,74,66,1.63,BO,2021-08-05 03:21:05
94,Berlevag,70.8578,29.0864,47.46,90,100,19.19,NO,2021-08-05 03:21:06
95,Satipo,-11.2522,-74.6386,70.12,64,88,1.86,PE,2021-08-05 03:21:06
96,Chudovo,59.1167,31.6833,50.81,79,94,2.01,RU,2021-08-05 03:21:06
97,Panguma,8.1833,-11.1333,69.94,99,100,1.43,SL,2021-08-05 03:21:06
98,Nuevitas,21.5453,-77.2644,72.84,86,14,4.41,CU,2021-08-05 03:21:07
99,Wanxian,30.8039,108.3897,91.54,64,7,4.54,CN,2021-08-05 03:21:07
100,Hasaki,35.7333,140.8333,95.29,70,0,8.03,JP,2021-08-05 03:21:07
101,Bethel,41.3712,-73.414,67.73,87,90,0.0,US,2021-08-05 03:21:08
102,Yumen,40.2833,97.2,83.1,13,92,14.09,CN,2021-08-05 03:21:08
103,Henties Bay,-22.116,14.2845,55.85,81,8,6.13,NA,2021-08-05 03:17:09
104,Avera,33.194,-82.5271,75.7,74,8,4.45,US,2021-08-05 03:21:09
105,Sindor,62.8629,51.8905,58.82,70,91,6.26,RU,2021-08-05 03:21:09
106,Acapulco,16.8634,-99.8901,79.52,82,100,4.43,MX,2021-08-05 03:21:09
107,Hami,42.8,93.45,95.61,8,82,8.12,CN,2021-08-05 03:21:10
108,Storforshei,66.4043,14.5233,50.67,77,100,1.72,NO,2021-08-05 03:21:10
109,Barahona,18.2085,-71.1008,78.91,85,94,4.12,DO,2021-08-05 03:21:10
110,Phan Thiet,10.9333,108.1,87.39,61,100,18.07,VN,2021-08-05 03:21:10
111,Mount Gambier,-37.8333,140.7667,53.51,94,90,19.57,AU,2021-08-05 03:21:11
112,Ola,59.5833,151.2833,56.68,45,92,4.45,RU,2021-08-05 03:21:11
113,Aswan,24.0934,32.907,92.97,14,60,3.94,EG,2021-08-05 03:21:11
114,Leningradskiy,69.3833,178.4167,43.65,85,100,4.92,RU,2021-08-05 03:21:12
115,Guaratuba,-25.8828,-48.5747,64.8,93,99,6.2,BR,2021-08-05 03:21:12
116,Cape Town,-33.9258,18.4232,58.87,95,75,3.0,ZA,2021-08-05 03:19:57
117,Abu Dhabi,24.4667,54.3667,87.91,94,20,2.3,AE,2021-08-05 03:18:02
118,Kisangani,0.5167,25.2,70.77,90,43,2.55,CD,2021-08-05 03:21:13
119,Isangel,-19.55,169.2667,80.71,57,40,2.3,VU,2021-08-05 03:21:13
120,Zabrze,50.3249,18.7858,61.99,92,100,1.01,PL,2021-08-05 03:21:13
121,Upernavik,72.7868,-56.1549,45.37,70,3,2.95,GL,2021-08-05 03:21:14
122,Marilia,-22.2139,-49.9458,53.51,76,97,11.54,BR,2021-08-05 03:21:14
123,Port Hardy,50.6996,-127.4199,73.58,60,75,9.22,CA,2021-08-05 03:21:14
124,Nikolskoye,59.7035,30.7861,53.8,74,28,2.08,RU,2021-08-05 03:21:14
125,Norman Wells,65.282,-126.8329,59.04,63,75,10.36,CA,2021-08-05 03:21:15
126,Bac Lieu,9.285,105.7244,86.31,67,100,16.67,VN,2021-08-05 03:21:15
127,Albany,42.6001,-73.9662,66.15,83,100,2.06,US,2021-08-05 03:21:15
128,Airai,-8.9266,125.4092,73.42,49,28,6.13,TL,2021-08-05 03:21:16
129,Vila Velha,-20.3297,-40.2925,67.95,83,40,11.5,BR,2021-08-05 03:21:16
130,Saint-Philippe,-21.3585,55.7679,65.79,81,82,15.77,RE,2021-08-05 03:21:16
131,Ribeira Grande,38.5167,-28.7,72.39,90,0,6.6,PT,2021-08-05 03:21:17
132,Kharan,28.5833,65.4167,89.1,12,53,8.05,PK,2021-08-05 03:21:17
133,Bathsheba,13.2167,-59.5167,79.41,78,20,8.05,BB,2021-08-05 03:21:17
134,Northam,51.0333,-4.2167,61.02,93,47,12.71,GB,2021-08-05 03:21:18
135,Rauma,61.1272,21.5113,44.64,76,21,6.76,FI,2021-08-05 03:21:18
136,Saint George,37.1041,-113.5841,102.79,11,1,3.0,US,2021-08-05 03:19:49
137,Vytegra,61.0064,36.4481,51.84,76,14,3.27,RU,2021-08-05 03:21:18
138,Niamey,13.5137,2.1098,80.89,69,20,8.05,NE,2021-08-05 03:21:19
139,Tessalit,20.1986,1.0114,91.58,31,31,8.55,ML,2021-08-05 03:21:19
140,Randolph,35.7001,-79.8164,71.85,83,90,0.0,US,2021-08-05 03:21:19
141,Grand Gaube,-20.0064,57.6608,68.4,74,68,4.0,MU,2021-08-05 03:17:11
